,station_code,city_name,year,month,day,rainfall,period,quality,lat,long,station_name,avg_rainfall
0,9151,Perth,1967,7,5,2.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
1,9151,Perth,1967,7,6,4.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
2,9151,Perth,1967,7,7,5.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
3,9151,Perth,1967,7,10,16.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
4,9151,Perth,1967,7,11,1.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
5,9151,Perth,1967,7,14,1.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
6,9151,Perth,1967,7,15,15.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
7,9151,Perth,1967,7,16,8.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
8,9151,Perth,1967,7,17,12.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
9,9151,Perth,1967,7,18,6.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
10,9151,Perth,1967,7,20,11.7,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
11,9151,Perth,1967,7,21,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
12,9151,Perth,1967,7,22,15.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
13,9151,Perth,1967,7,23,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
14,9151,Perth,1967,7,27,36.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
15,9151,Perth,1967,7,28,7.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
16,9151,Perth,1967,7,29,7.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
17,9151,Perth,1967,7,30,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
18,9151,Perth,1967,8,1,0.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
19,9151,Perth,1967,8,2,2.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
20,9151,Perth,1967,8,3,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
21,9151,Perth,1967,8,7,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
22,9151,Perth,1967,8,8,34.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
23,9151,Perth,1967,8,9,6.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
24,9151,Perth,1967,8,16,29.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
25,9151,Perth,1967,8,17,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
26,9151,Perth,1967,8,20,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
27,9151,Perth,1967,8,21,3.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
28,9151,Perth,1967,8,22,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
29,9151,Perth,1967,8,23,6.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
30,9151,Perth,1967,8,24,18.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
31,9151,Perth,1967,8,25,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
32,9151,Perth,1967,8,26,8.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
33,9151,Perth,1967,8,28,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
34,9151,Perth,1967,8,31,1.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
35,9151,Perth,1967,9,2,14.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
36,9151,Perth,1967,9,3,5.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
37,9151,Perth,1967,9,9,0.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
38,9151,Perth,1967,9,16,0.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
39,9151,Perth,1967,9,24,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
40,9151,Perth,1967,10,4,19.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
41,9151,Perth,1967,10,8,11.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
42,9151,Perth,1967,10,24,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
43,9151,Perth,1967,11,3,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
44,9151,Perth,1967,11,15,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
45,9151,Perth,1967,11,16,2.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
46,9151,Perth,1967,11,27,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
47,9151,Perth,1967,11,28,0.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
48,9151,Perth,1967,12,6,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
49,9151,Perth,1967,12,9,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
50,9151,Perth,1967,12,10,4.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
51,9151,Perth,1967,12,24,4.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.88461538461538
52,9151,Perth,1968,1,7,2.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
53,9151,Perth,1968,1,8,4.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
54,9151,Perth,1968,1,26,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
55,9151,Perth,1968,1,27,4.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
56,9151,Perth,1968,2,3,16.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
57,9151,Perth,1968,2,4,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
58,9151,Perth,1968,2,8,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
59,9151,Perth,1968,2,9,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
60,9151,Perth,1968,2,11,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
61,9151,Perth,1968,2,12,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
62,9151,Perth,1968,3,6,9.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
63,9151,Perth,1968,3,8,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
64,9151,Perth,1968,3,16,3.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
